v,t_avg,t_sd
2000,0.1963333,0.001
4000,0.4023333,0.001
6000,0.6203333,0.017
8000,0.8446667,0.005
10000,1.118,0.022
12000,1.347,0.025
14000,1.601,0.069
16000,1.874333,0.045
18000,2.115333,0.087
20000,2.367333,0.036
22000,2.637667,0.017
24000,2.958333,0.080
26000,3.273,0.039
28000,3.622667,0.080
30000,4.002333,0.087
32000,4.215667,0.030
34000,4.580333,0.058
36000,4.950667,0.154
38000,5.388,0.117
40000,5.705667,0.085
42000,6.033,0.090
44000,6.488667,0.121
46000,6.789667,0.042
48000,7.282,0.166
50000,7.63,0.143
52000,7.982333,0.034
54000,8.466667,0.092
56000,8.881667,0.076
58000,9.262,0.019
60000,9.979333,0.112
62000,10.19267,0.010
64000,10.768,0.090
66000,11.40333,0.173
68000,11.87,0.276
70000,12.34133,0.256
72000,12.807,0.153
74000,13.21733,0.056
76000,13.77833,0.133
78000,14.43667,0.152
80000,15.217,0.245
82000,15.478,0.151
84000,16.12567,0.164
86000,16.812,0.133
88000,17.244,0.260
90000,17.854,0.281
92000,18.22067,0.076
94000,18.78033,0.161
96000,19.24567,0.111
98000,19.237,0.005
100000,19.85933,0.065
