c,t_avg,t_sd
0,9.596,0.307
10,1.039667,0.008
20,0.5753333,0.013
30,0.4373333,0.009
40,0.3616667,0.003
50,0.3083333,0.004
60,0.2773333,0.012
70,0.259,0.009
80,0.238,0.003
90,0.223,0.004
100,0.2126667,0.007
110,0.2023333,0.002
120,0.1956667,0.002
130,0.186,0.001
140,0.1823333,0.001
150,0.179,0.003
160,0.186,0.024
170,0.1766667,0.008
180,0.1673333,0.002
190,0.1713333,0.001
200,0.1756667,0.014
210,0.1646667,0.003
220,0.161,0.000
230,0.1606667,0.002
240,0.1583333,0.002
250,0.1563333,0.001
260,0.1583333,0.008
270,0.1553333,0.003
280,0.153,0.001
290,0.155,0.007
300,0.1496667,0.001
310,0.1503333,0.002
320,0.1473333,0.001
330,0.1506667,0.006
340,0.1546667,0.011
350,0.1463333,0.001
360,0.1446667,0.001
370,0.1446667,0.001
380,0.1443333,0.001
390,0.146,0.007
400,0.1403333,0.001
410,0.1423333,0.002
420,0.147,0.015
430,0.1496667,0.006
440,0.1406667,0.001
450,0.137,0.001
460,0.1353333,0.001
470,0.1363333,0.001
480,0.1373333,0.001
490,0.1436667,0.008
500,0.138,0.000
510,0.1413333,0.007
520,0.137,0.000
530,0.1366667,0.001
540,0.14,0.004
550,0.136,0.000
560,0.1363333,0.001
570,0.136,0.000
580,0.137,0.002
590,0.1396667,0.005
600,0.1373333,0.002
610,0.1373333,0.004
620,0.138,0.007
630,0.1413333,0.014
640,0.1386667,0.003
650,0.1396667,0.006
660,0.1393333,0.012
670,0.135,0.001
680,0.147,0.011
690,0.136,0.003
700,0.136,0.005
710,0.1303333,0.002
720,0.1356667,0.006
730,0.138,0.006
740,0.1476667,0.005
750,0.1383333,0.012
760,0.133,0.003
770,0.1453333,0.012
780,0.1563333,0.034
790,0.1553333,0.023
800,0.1446667,0.004
