c,t_avg,t_sd
0,0.3903333,0.013
2,0.1973333,0.004
4,0.1046667,0.006
6,0.07033333,0.001
8,0.055,0.001
10,0.045,0.000
12,0.03833333,0.001
14,0.034,0.000
16,0.03166667,0.003
18,0.02833333,0.001
20,0.027,0.002
22,0.02466667,0.002
24,0.02333333,0.001
26,0.028,0.002
28,0.02433333,0.006
30,0.02033333,0.002
32,0.019,0.002
34,0.01833333,0.002
36,0.017,0.000
38,0.01633333,0.001
40,0.01533333,0.001
42,0.01533333,0.001
44,0.016,0.002
46,0.015,0.000
48,0.016,0.002
50,0.01433333,0.001
52,0.01433333,0.001
54,0.01366667,0.001
56,0.01366667,0.001
58,0.013,0.000
60,0.01333333,0.001
62,0.013,0.000
64,0.01333333,0.001
66,0.013,0.000
68,0.01233333,0.001
70,0.01366667,0.002
72,0.01266667,0.002
74,0.01166667,0.001
76,0.01333333,0.003
78,0.01366667,0.002
80,0.01133333,0.001
82,0.012,0.001
84,0.01133333,0.001
86,0.01133333,0.001
88,0.011,0.000
90,0.01133333,0.001
92,0.011,0.001
94,0.011,0.000
96,0.011,0.000
98,0.011,0.000
100,0.01133333,0.001
102,0.012,0.002
104,0.01066667,0.001
106,0.01066667,0.001
108,0.01066667,0.001
110,0.012,0.003
112,0.01033333,0.001
114,0.01,0.000
116,0.01066667,0.001
118,0.01033333,0.001
120,0.01133333,0.003
122,0.01133333,0.002
124,0.01133333,0.002
126,0.01,0.000
128,0.009666667,0.001
130,0.009333333,0.001
132,0.009666667,0.001
134,0.01033333,0.002
136,0.009333333,0.001
138,0.009666667,0.001
140,0.009666667,0.001
142,0.01133333,0.003
144,0.009666667,0.001
146,0.01033333,0.001
148,0.01033333,0.002
150,0.01,0.002
152,0.009666667,0.001
154,0.01033333,0.002
156,0.009333333,0.001
158,0.009666667,0.001
160,0.013,0.003
