c,t_avg,t_sd
0,6.686333,0.328
2,3.263667,0.022
4,1.670333,0.024
6,1.211667,0.056
8,0.9236667,0.013
10,0.7493333,0.008
12,0.657,0.030
14,0.5763333,0.014
16,0.5176667,0.005
18,0.4713333,0.014
20,0.4526667,0.033
22,0.4026667,0.012
24,0.387,0.013
26,0.367,0.008
28,0.3453333,0.006
30,0.3276667,0.013
32,0.3176667,0.008
34,0.3073333,0.003
36,0.2943333,0.001
38,0.298,0.003
40,0.2873333,0.002
42,0.2743333,0.011
44,0.2726667,0.020
46,0.2683333,0.020
48,0.2493333,0.005
50,0.256,0.018
52,0.2433333,0.013
54,0.248,0.010
56,0.234,0.010
58,0.2216667,0.001
60,0.224,0.010
62,0.2233333,0.004
64,0.2183333,0.001
66,0.2143333,0.001
68,0.218,0.007
70,0.2113333,0.003
72,0.2126667,0.001
74,0.2056667,0.003
76,0.201,0.007
78,0.2,0.005
80,0.1916667,0.002
82,0.1946667,0.004
84,0.2056667,0.007
86,0.189,0.003
88,0.2036667,0.012
90,0.192,0.005
92,0.1893333,0.002
94,0.196,0.017
96,0.1846667,0.001
98,0.184,0.000
100,0.1863333,0.007
102,0.181,0.004
104,0.1793333,0.003
106,0.1746667,0.003
108,0.176,0.003
110,0.1723333,0.004
112,0.1786667,0.002
114,0.181,0.010
116,0.1803333,0.013
118,0.1786667,0.008
120,0.1753333,0.006
122,0.1736667,0.004
124,0.17,0.005
126,0.171,0.002
128,0.196,0.018
130,0.173,0.010
132,0.168,0.001
134,0.1706667,0.001
136,0.1676667,0.001
138,0.1633333,0.002
140,0.1713333,0.006
142,0.164,0.005
144,0.1626667,0.004
146,0.16,0.002
148,0.16,0.001
150,0.1676667,0.007
152,0.1616667,0.002
154,0.1676667,0.005
156,0.1683333,0.009
158,0.1596667,0.001
160,0.1596667,0.003
