c,t_avg,t_sd
0,7.132333,0.045
10,0.8203333,0.012
20,0.4736667,0.004
30,0.352,0.008
40,0.2963333,0.012
50,0.2626667,0.013
60,0.236,0.004
70,0.2183333,0.002
80,0.2043333,0.001
90,0.1953333,0.002
100,0.189,0.002
110,0.1816667,0.006
120,0.1823333,0.006
130,0.1723333,0.003
140,0.1716667,0.004
150,0.1893333,0.018
160,0.163,0.003
170,0.162,0.008
180,0.1576667,0.006
190,0.1603333,0.005
200,0.1563333,0.002
210,0.1526667,0.002
220,0.1513333,0.004
230,0.1516667,0.002
240,0.155,0.006
250,0.152,0.009
260,0.1476667,0.002
270,0.156,0.020
280,0.153,0.010
290,0.145,0.004
300,0.1426667,0.003
310,0.141,0.003
320,0.1493333,0.015
330,0.1413333,0.005
340,0.1383333,0.003
350,0.1423333,0.005
360,0.1383333,0.001
370,0.1393333,0.002
380,0.139,0.002
390,0.1376667,0.001
400,0.1396667,0.004
410,0.1406667,0.006
420,0.1376667,0.004
430,0.1383333,0.005
440,0.1436667,0.008
450,0.1403333,0.006
460,0.135,0.002
470,0.1356667,0.002
480,0.141,0.007
490,0.1333333,0.001
500,0.1406667,0.008
510,0.1333333,0.002
520,0.1366667,0.004
530,0.1346667,0.002
540,0.1333333,0.001
550,0.1366667,0.008
560,0.1296667,0.002
570,0.1313333,0.002
580,0.1343333,0.005
590,0.1473333,0.018
600,0.15,0.012
610,0.1333333,0.004
620,0.1283333,0.002
630,0.1313333,0.003
640,0.1323333,0.004
650,0.13,0.004
660,0.129,0.003
670,0.1353333,0.012
680,0.1326667,0.005
690,0.1366667,0.007
700,0.1373333,0.009
710,0.1293333,0.001
720,0.1406667,0.010
730,0.1356667,0.003
740,0.137,0.003
750,0.1353333,0.003
760,0.145,0.009
770,0.1486667,0.011
780,0.145,0.015
790,0.138,0.010
800,0.147,0.023
