v,t_avg,t_sd
2000,0.159,0.016
4000,0.31,0.003
6000,0.4928,0.017
8000,0.6486,0.022
10000,0.8168,0.008
12000,1.0218,0.027
14000,1.2334,0.037
16000,1.4096,0.041
18000,1.6326,0.040
20000,1.8518,0.016
22000,2.0688,0.007
24000,2.3796,0.061
26000,2.6166,0.050
28000,2.8878,0.112
30000,3.1352,0.078
32000,3.3374,0.025
34000,3.746,0.173
36000,4.19,0.105
38000,4.4738,0.152
40000,4.717,0.133
42000,5.0582,0.073
44000,5.3754,0.087
46000,5.8018,0.165
48000,6.3234,0.141
50000,6.6842,0.244
52000,7.1168,0.237
54000,7.5276,0.185
56000,7.832,0.098
58000,8.2594,0.116
60000,8.4118,0.106
62000,8.9134,0.210
64000,9.3614,0.235
66000,9.8042,0.142
68000,10.2326,0.171
70000,10.7228,0.182
72000,11.0094,0.057
74000,11.7506,0.239
76000,12.6476,0.156
78000,13.2792,0.370
80000,13.5234,0.257
82000,13.9186,0.456
84000,14.158,0.255
86000,14.6756,0.127
88000,15.2124,0.097
90000,15.7656,0.229
92000,16.5974,0.283
94000,16.7894,0.242
96000,17.49,0.249
98000,18.0342,0.139
100000,18.7838,0.342
,0,0.000
2,0.157,0.013
20,0.02233333,0.002
200,0.008666667,0.001
,0,0.000
0,0.3163333,0.015
2,0.153,0.005
20,0.02133333,0.001
200,0.01033333,0.001
300,0,0.000
400,0,0.000
