c,t_avg,t_sd
0,0.2836667,0.021
2,0.137,0.002
4,0.07133333,0.001
6,0.049,0.000
8,0.04033333,0.002
10,0.03266667,0.002
12,0.03366667,0.009
14,0.02466667,0.001
16,0.02333333,0.001
18,0.02066667,0.001
20,0.01966667,0.001
22,0.01833333,0.001
24,0.019,0.001
26,0.017,0.000
28,0.018,0.003
30,0.01566667,0.001
32,0.01533333,0.001
34,0.01433333,0.001
36,0.014,0.001
38,0.01333333,0.001
40,0.01333333,0.001
42,0.01266667,0.001
44,0.01266667,0.001
46,0.01233333,0.001
48,0.012,0.000
50,0.013,0.002
52,0.01166667,0.001
54,0.01133333,0.001
56,0.01133333,0.001
58,0.01133333,0.001
60,0.011,0.001
62,0.011,0.001
64,0.01166667,0.001
66,0.01066667,0.001
68,0.01066667,0.001
70,0.011,0.002
72,0.01033333,0.001
74,0.01033333,0.001
76,0.01133333,0.002
78,0.01,0.000
80,0.01033333,0.001
82,0.01133333,0.002
84,0.01133333,0.002
86,0.01,0.000
88,0.009666667,0.001
90,0.009666667,0.001
92,0.009666667,0.001
94,0.01,0.002
96,0.009333333,0.001
98,0.009333333,0.001
100,0.009,0.000
102,0.009333333,0.001
104,0.009333333,0.001
106,0.01066667,0.003
108,0.009333333,0.001
110,0.01033333,0.002
112,0.009,0.000
114,0.009,0.000
116,0.009666667,0.001
118,0.009,0.000
120,0.009333333,0.001
122,0.009,0.000
124,0.009666667,0.001
126,0.009,0.000
128,0.009,0.000
130,0.01,0.002
132,0.008666667,0.001
134,0.01033333,0.003
136,0.008333333,0.001
138,0.01066667,0.004
140,0.008666667,0.001
142,0.009,0.001
144,0.009,0.001
146,0.009,0.000
148,0.008666667,0.001
150,0.009,0.001
152,0.008333333,0.001
154,0.009333333,0.001
156,0.009333333,0.002
158,0.008333333,0.001
160,0.01033333,0.002
