v,t_avg,t_sd
2000,0.1584,0.005
4000,0.3394,0.010
6000,0.531,0.032
8000,0.7068,0.039
10000,0.887,0.043
12000,1.105,0.048
14000,1.3226,0.039
16000,1.5008,0.025
18000,1.7192,0.007
20000,1.9862,0.041
22000,2.198,0.022
24000,2.5202,0.120
26000,2.704,0.012
28000,3.0088,0.055
30000,3.3126,0.085
32000,3.5846,0.070
34000,4.038,0.106
36000,4.4574,0.199
38000,4.623,0.177
40000,5.0356,0.135
42000,5.4786,0.152
44000,5.5402,0.109
46000,5.8944,0.134
48000,6.296,0.058
50000,6.7238,0.178
52000,7.1502,0.358
54000,7.3614,0.062
56000,7.9862,0.208
58000,8.3814,0.063
60000,8.6638,0.190
62000,9.108,0.246
64000,9.4828,0.154
66000,9.9114,0.079
68000,10.6642,0.411
70000,11.4766,0.208
72000,11.7494,0.383
74000,12.7492,0.257
76000,12.6072,0.554
78000,12.7494,0.137
80000,13.423,0.180
82000,13.8716,0.174
84000,14.4108,0.093
86000,15.088,0.359
88000,15.223,0.147
90000,15.9696,0.054
92000,16.6548,0.253
94000,17.4126,0.478
96000,17.592,0.133
98000,17.5124,0.265
100000,17.9264,0.094
