d,e_avg,e_sd,t_avg,t_sd
0.10,2570148,950.3206,6.6602,0.128
0.15,3650361,2267.6,6.6738,0.065
0.20,4612891,1385.341,6.8128,0.054
0.25,5468177,2348.735,6.9242,0.056
0.30,6235817,3045.523,7.048,0.083
0.35,6915782,2414.54,7.2464,0.171
0.40,7524156,1156.955,7.2198,0.088
0.45,8064830,2989.554,7.3368,0.079
0.50,8549519,2146.673,6.5582,0.160
0.55,8977098,2555.082,7.4272,0.100
0.60,9360921,2038.829,7.4624,0.087
0.65,9700739,2070.121,7.5704,0.182
0.70,10006639,2409.654,7.5082,0.052
0.75,10278901,3171.838,7.6444,0.087
0.80,10517462,4349.001,7.6824,0.111
0.85,10736121,3393.057,7.6768,0.060
0.90,10927597,2231.84,7.6224,0.043
