d,e_avg,e_sd,t_avg,t_sd
0.10,102512,188.4874,0.1616,0.003
0.15,145886,586.7974,0.1648,0.002
0.20,184623,841.2249,0.174,0.006
0.25,218893,604.7237,0.185,0.016
0.30,249543,627.1262,0.1782,0.006
0.35,276807,266.5517,0.1924,0.015
0.40,300977,273.1679,0.1954,0.010
0.45,322717,458.2431,0.1954,0.005
0.50,341936,476.2613,0.1794,0.038
0.55,358967,398.3211,0.2086,0.037
0.60,374374,401.214,0.2028,0.012
0.65,388314,654.9011,0.2026,0.011
0.70,400111,768.7163,0.2174,0.015
0.75,411181,211.9488,0.2088,0.008
0.80,420703,450.6481,0.2032,0.003
0.85,429583,296.3204,0.1988,0.006
0.90,436927,372.8883,0.2014,0.003
