d,e_avg,e_sd,t_avg,t_sd
0.10,837272,1157.62,6.601,0.109
0.15,1234462,437.5383,6.4918,0.020
0.20,1618199,1102.314,6.6642,0.075
0.25,1989482,1132.164,6.519,0.125
0.30,2347170,965.2374,6.4244,0.125
0.35,2692593,2259.612,6.4886,0.072
0.40,3026867,1918.073,6.7324,0.028
0.45,3348668,2792.116,6.6192,0.096
0.50,3660654,2003.502,5.9058,0.122
0.55,3961977,1993.46,6.8106,0.185
0.60,4254536,1818.026,6.905,0.141
0.65,4532768,2030.807,6.9232,0.072
0.70,4805314,2897.588,6.7494,0.108
0.75,5066870,1080.647,6.8078,0.103
0.80,5320324,2445.152,6.912,0.212
0.85,5564332,2212.066,6.8828,0.196
0.90,5800440,2276.646,6.7556,0.078
