d,e_avg,e_sd,t_avg,t_sd
0.10,33443,260.1378,0.1582,0.006
0.15,49322,289.0251,0.1606,0.006
0.20,64725,147.2022,0.1674,0.009
0.25,79790,221.5755,0.1652,0.004
0.30,93792,262.5256,0.1746,0.013
0.35,107647,229.8449,0.1736,0.012
0.40,121158,89.88493,0.1782,0.013
0.45,133880,519.5328,0.19,0.026
0.50,146616,410.1954,0.147,0.009
0.55,158633,307.1615,0.1788,0.007
0.60,170154,369.1554,0.2032,0.046
0.65,181580,502.1716,0.1788,0.006
0.70,192660,343.7538,0.2254,0.024
0.75,202737,486.1494,0.213,0.031
0.80,212798,439.3668,0.1908,0.012
0.85,222475,405.0367,0.197,0.012
0.90,231683,312.4727,0.1766,0.002
