d,e_avg,e_sd,t_avg,t_sd
0.10,1673980,2212.6,18.4736,0.127
0.15,2469123,979.4482,18.4966,0.275
0.20,3235658,1720.985,18.7352,0.154
0.25,3978961,3020.182,18.6686,0.031
0.30,4693245,2580.879,19.0296,0.278
0.35,5385317,2302.526,18.762,0.292
0.40,6053422,2524.935,18.3726,0.042
0.45,6698611,1732.816,18.548,0.274
0.50,7321853,2821.7,16.893,0.112
0.55,7927058,2639.472,18.793,0.265
0.60,8506475,1303.096,18.8136,0.170
0.65,9067322,2007.945,19.6292,0.326
0.70,9612964,1484.724,19.6482,0.323
0.75,10134658,2075.643,19.4336,0.121
0.80,10639235,4324.836,19.6222,0.188
0.85,11130378,1160.092,19.8454,0.390
0.90,11604169,1848.891,19.2868,0.315
