d,e_avg,e_sd,t_avg,t_sd
0.10,261914,546.9915,18.5796,0.177
0.15,392001,664.4473,18.669,0.195
0.20,520849,367.5748,18.8102,0.330
0.25,650506,784.4082,18.9128,0.321
0.30,777985,830.4015,18.9858,0.333
0.35,905434,1109.547,18.6566,0.269
0.40,1031808,605.59,18.8898,0.386
0.45,1157757,1450.823,18.8004,0.405
0.50,1283026,413.0912,17.2436,0.487
0.55,1407528,979.2376,19.4372,0.126
0.60,1532127,1154.822,19.5402,0.569
0.65,1655502,932.0892,19.3926,0.327
0.70,1776641,497.1944,19.8968,0.340
0.75,1899983,1828.012,19.4918,0.341
0.80,2020673,1584.8,19.559,0.297
0.85,2141281,1248.069,19.2794,0.480
0.90,2261696,1283.314,19.2046,0.321
