d,e_avg,e_sd,t_avg,t_sd
0.10,167226,332.4565,0.8802,0.019
0.15,247349,276.8082,0.915,0.047
0.20,323576,1025.086,0.9784,0.053
0.25,397792,512.5776,0.9876,0.088
0.30,469073,852.0418,0.9226,0.031
0.35,538626,479.7023,0.9264,0.021
0.40,604987,784.9811,0.9326,0.019
0.45,669954,264.3865,0.9494,0.024
0.50,731981,951.9069,0.7988,0.035
0.55,793133,878.9629,0.9618,0.022
0.60,849941,960.9262,0.9608,0.016
0.65,906819,1043.882,0.965,0.029
0.70,960885,998.579,0.9872,0.030
0.75,1013673,931.2745,0.9538,0.008
0.80,1064614,1362.873,0.9728,0.024
0.85,1113302,920.2584,0.9638,0.021
0.90,1160554,1126.657,0.9528,0.008
