d,e_avg,e_sd,t_avg,t_sd
0.10,5245,53.43875,0.1518,0.003
0.15,7843,46.38642,0.163,0.021
0.20,10475,36.41428,0.1586,0.005
0.25,13004,25.26856,0.1562,0.003
0.30,15557,193.2183,0.1654,0.012
0.35,18036,150.3652,0.1632,0.008
0.40,20568,100.0825,0.171,0.009
0.45,23238,126.3942,0.1632,0.007
0.50,25650,216.8149,0.1326,0.007
0.55,28166,44.9522,0.1654,0.004
0.60,30643,222.192,0.1634,0.002
0.65,33144,234.2296,0.1646,0.004
0.70,35477,258.8229,0.1742,0.013
0.75,37904,113.8148,0.1666,0.006
0.80,40380,245.0312,0.1714,0.009
0.85,42790,263.4354,0.167,0.005
0.90,45117,112.8304,0.1676,0.005
