p,e_avg,e_sd,t_avg,t_sd
0.10,5247,82.34501,0.1572,0.008
0.15,8106,109.5755,0.1562,0.007
0.20,11082,57.17779,0.152,0.002
0.25,14128,46.51021,0.1564,0.006
0.30,17504,115.5565,0.1586,0.005
0.35,21022,32.51615,0.1528,0.002
0.40,25020,215.7283,0.1588,0.007
0.45,29063,179.6199,0.1538,0.004
0.50,33442,87.53571,0.1544,0.005
0.55,38310,245.4459,0.1598,0.005
0.60,43876,202.627,0.158,0.007
0.65,49806,351.3441,0.1636,0.007
0.70,56782,248.133,0.1546,0.003
0.75,64599,303.4851,0.1552,0.004
0.80,74324,254.0683,0.157,0.005
0.85,86423,208.0709,0.1572,0.007
0.90,102803,396.5835,0.1588,0.005
