d,e_avg,e_sd,t_avg,t_sd
0.10,131072,257.2211,6.4692,0.087
0.15,196026,553.1047,6.3612,0.154
0.20,260824,821.7358,6.6012,0.192
0.25,325300,189.0352,6.7078,0.143
0.30,389161,541.5909,6.6352,0.066
0.35,452748,752.3933,6.7658,0.113
0.40,515524,690.6463,6.8966,0.130
0.45,578550,1251.33,6.8666,0.125
0.50,641686,747.6836,5.928,0.033
0.55,704125,625.6616,6.8794,0.079
0.60,765575,937.7375,6.8752,0.092
0.65,827093,474.2671,6.9224,0.137
0.70,888460,640.3723,6.8724,0.070
0.75,950299,647.3552,6.8902,0.136
0.80,1010093,1052.93,6.8646,0.118
0.85,1070816,1069.977,6.9852,0.124
0.90,1130600,1189.293,6.8728,0.174
