d,e_avg,e_sd,t_avg,t_sd
0.10,26195,84.33445,0.8312,0.009
0.15,39242,143.9017,0.8618,0.026
0.20,52310,152.9843,0.8498,0.002
0.25,64968,397.9538,0.8508,0.004
0.30,77699,188.3821,0.872,0.019
0.35,90276,233.6596,0.8828,0.007
0.40,103323,271.489,0.8812,0.005
0.45,115609,311.9707,0.9294,0.034
0.50,128585,387.8734,0.7674,0.034
0.55,140431,403.7022,0.932,0.028
0.60,152904,418.4445,0.9222,0.011
0.65,165459,375.3755,0.9326,0.025
0.70,177430,370.9814,0.9288,0.021
0.75,189884,563.3439,0.9186,0.007
0.80,202024,605.9597,0.9428,0.031
0.85,214326,151.1777,0.9194,0.007
0.90,226189,316.8427,0.9564,0.069
